2026-01-30 10:54:04,245 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_1
2026-01-30 10:54:04,245 - AppLogger - INFO - Service: Main | Event: SUCCESS | Retry: 0 | Circuit: CLOSED | Details: Call successful for User_1
2026-01-30 10:54:04,245 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_2
2026-01-30 10:54:04,245 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 10:54:09,251 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
2026-01-30 10:54:19,257 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 3 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 20.0s...
2026-01-30 10:54:39,264 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_EXHAUSTED | Retry: 4 | Circuit: CLOSED | Details: Max retries (3) exceeded.
2026-01-30 10:54:39,266 - AppLogger - INFO - Service: ElevenLabs | Event: FAILURE_COUNT | Retry: 0 | Circuit: CLOSED | Details: 1/3
2026-01-30 10:54:39,266 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_2 due to error: 503 Service Unavailable
2026-01-30 10:54:40,270 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_3
2026-01-30 10:54:40,271 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 10:54:45,273 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
2026-01-30 10:54:55,279 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 3 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 20.0s...
2026-01-30 10:55:15,283 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_EXHAUSTED | Retry: 4 | Circuit: CLOSED | Details: Max retries (3) exceeded.
2026-01-30 10:55:15,286 - AppLogger - INFO - Service: ElevenLabs | Event: FAILURE_COUNT | Retry: 0 | Circuit: CLOSED | Details: 2/3
2026-01-30 10:55:15,286 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_3 due to error: 503 Service Unavailable
2026-01-30 10:55:16,287 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_4
2026-01-30 10:55:16,288 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 1 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 5.0s...
2026-01-30 10:55:21,294 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 2 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 10.0s...
2026-01-30 10:55:31,304 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_ATTEMPT | Retry: 3 | Circuit: CLOSED | Details: Transient error caught: 503 Service Unavailable. Retrying in 20.0s...
